sentence,label
"별한개도 아깝습니다,,",1
유치한 누구때문에 눈살 찌뿌려지는거 빼곤 재밌네요,0
스크린에서 그들만의리그 방영중이네요! 제가 태어날때 만들어진 영화 처음봤는데 정말재미있어요 야구를 즐겨보는편은아닌데 재밌게보았습니다^^,0
실화로 알고있어요.임정희씨 살아계시다면 꿋꿋하게 생활하세요,0
"쓰레기인간, 인간쓰레기들의 마지막 발악. 별 한개도 아까운 심정.",1
불면증이 완쾌됐어요 정말 감사합니다,1
끝까지...봤다....,1
식상한 내용의 늑대인간 또 새롭게 울궈먹기 시작..  하지만 역시나 기대보다는 실망감만 줌,1
내인생최악의 쓰레기영화,1
"룸메뉴스뜨길래봤더니ㅡ배려한답시고 똥고집세우다 졸음운전한 박민우보다도, 다른팀이 찜통더위에 고생해도 신경안쓰고 자기네들만 먼저가서 놀고있는찬열팀보다도 ,,룸메연출팀이 제일 욕들을만 하다고 본다ㅡ한여름에 차렌탈하면 에어컨부터 보는게 기본이지",1
시간 낭비...아무것도 없슴,1
이런 기본을 잘 지킨 영화가 10점이지.,0
천사멋쪄,0
1점은 아닌거 같아요 기본이 2점은되야죠~~,1
아.. 시간 버렸네..,1
영화괜찮던데..대사나 연출같은것도,0
노잼...다큐수준...다큐임,1
누가 형이냐 ??소름돋는다 .... 야 한스짐머  역시  영화음악은 쵝오!~,0
화재재난 영화를 소재로 한 전무후무한 거장 론 하워드의 또 하나의 걸작. 마지막 대화재 장면은 아름답기까지 하다. 형제애가 무엇인지 잘 보여주는 영화이기도 하다.,0
오락 위주나 흥행 재미 코믹을 원하는 그누구도 이영화의 평점에 속아서는 안되며 절대 이영화를 추천하지 않겠습니다. 다른영화 보세요 지루하고 웃기지도 않고 그냥 화가날 뿐입니다.,1
내용이 부실하면 연출이라도 쫌 잘하지. 그렇다고 사로잡는 연기력의 배우도 없고. 애초에 시나리오부터 미스라 시작부터 끝까지 입구멍에서 하품아니면 욕만나온다.,1
"작가 마인드가 조선시대에 머물러 있는  드라마.. 어줍잖은 남녀대결모드도 그렇고 작가, 감독 능력부족하다 느낍니다. 더군다나 배우 캐스팅도 미스~",1
솔직히 9점은 좀아니다,1
살리에르가 모차르트한테 밟힌 기분이 이런거였겠지진짜 잘만들었는데 하필이면 적이 별그대,0
tv문학관용 이지 극장용은 아니다.,1
역시 대일본제국 답네요 정말 잘만듬,0
월화뭐보지하다가 이드라마나오니까 디게좋음ㅎㅎ월요일의고단함을풀어주는코미디드라마~,0
재구성 하지말고 그냥 박살내면 안되나?,1
마지막장면 첨엔 무슨일인가 싶었는데 그게바로 성인이 되는장면,0
도대체 심사의 기준이머죠.?쇼미더머니 프로그램의 정체성은..?ㅋㅋ 도대체 어디서 관객사오는거임,1
제목만 보고 영화를 봤는데 보는 내내 지루,1
약간 좀 역겨운데...,1
뒤로 갈수록 예상치 못한 반전이!!!,0
"와우~!!저도 내년에 대학생인데 이 토리코만은 진짜 엄청나더군요!!!완전 멋졌습니다!!엄청난 액션신에,감동까지!!강추합니다!!!^^",0
재미있네요12345,0
간만에 3류도 아닌 4류 영화본거 같음.짜맞치기식에 암튼 쓰레기~~,1
무슨 의도로 만든건지...,1
왜 폐지안해요?~ 실수도 실수나름이지 한번실수한것도 기가 막힌데 두번씩이나 했으면서~,1
감독에게 묻고싶다  뇌가 어떻게 생겨야 이런영화를 만드는지..보는내내 불쾌하고 더럽다,1
울음밖에 나오지 않네....,0
재밋어용 무서워요 ㅎㅎ,0
소원택시부터 2연속 뒤통수 초심을 잃었다...,1
용기와 힘이 되어주는 영화,0
"한 번도 영화 평점 쓴 적 없는데 써야겠다는 생각을 하게 해준 영화. 최소한 5점 아래로 떨어져야 하는 게 아닌가. 웬만해선 영화를 다 재미있게 보는 사람인데, 진짜 이건 삼류 중의 삼류가 아닌가 싶다. 작가가 초딩이 아니냐는 댓글에 격하게 공감한다.",1
모방하던말던상관없습니다. 제임스카메론의 노력에 비하면 이건 뭐죠? 글쎄요...영화감독이꿈인자들의 소원이 딱 한가지 있다면 그건 제임스카메론의 상상력일법도 합니다.그런데정말 쉽게 얻으셨군요.비참해 보입니다돈으론 모든 일이 해결될줄아나요?중국?^^,1
"박사 둘 포함 5명 죽이고, 파리병 남한테 옮기기 성공...GoGo 파리맨?;;",1
아침 드라마 참 막장이넹요 나참 2주째 똑같은 스토리에. 좀.. 새로운 생각을 못하나 작가나 감독은 이쯤... 복수도 시작해야되는거 아니에요? 마지막 한편에 다 용서해주고.. 힘들겠어요,1
"카펜터옹, 중국 영화에 심취하더니 괴작 만드셨네.",1
"웬만한 극장개봉 성인영화보다 재밌습니다. 막장이긴 하지만, 스토리의 개연성과 흐름이 자연스러워서 오히려 거부감이 적습니다. 마지막 두 남녀주인공의 식사씬은 정말 훌륭했고, 감동도 있었습니다. 작가와 감독이 공을 많이 들인듯 하네요. 연기력도 좋았구요.",0
풋풋한 주성치와 망가지는 유덕화 깜찍한 코메디 ㅋㅋ,0
좀비라고 하면 공격성향 강한 끔찍한 이미지가 그려지는데 이 영화에서는 오히려 사람들에게 이용의 대상이 되는 그런 좀비의 모습이 담겨있어요.영화보는 내내 감정이 오묘해지는게 슬프더라구요. 새롭게 해석되고 그려진 좀비영화가 궁금하신분들은 꼭 보세요!!!,0
"앗싸 1빠구...!!! 이 영화 점 재밌욤,,",0
"덜 것도, 더할 것도 없는 영화",0
말이필요없다#찰리채플린 쪼아여♥♡,0
월.화는 이거 보는 맛에 산다.편안하게 볼 수 있는 너무 재미있는데 시청률이 좀아쉽네~~,0
100부작이면 딱인데 120부작으로도 모자라서 130부?언제연장햇나?차기작이 준비안됏나?요새방송되는분량은 장마철이 빨래 넌  느낌이다.에..훼훼훼,1
보실분은 어여 빨리보세요 곧 상영 내려요!,1
계속 눈물만 나오게 하는 영화...순수했던 그 때의 나는 없고 세상을 비관적으로 보는 지금의 나를 보니 너무 마음이 아팠다.,0
청춘이라는 단어에 대해 생각해보게되는 영화!,0
이 영화 초등학교땐가 중학교때 티비에서 해준거 보구 완전 감동..,0
중2때 본 영환데...그 당시에도 연일 극장 매진이였슴. 현재 1~3까지 DVD로 소장중.,0
10점만점에 10점 주고싶다흡입력도 좋고 연출 짱인듯연기력도 죽이고평점이 왜 낮은지 모르겠다 어제보고 오늘 또 봤는데도 무섭다..상각할수록 더 무섭,0
"가수는가수인거같아여 특히손담비는영 갓난아기연기하는지,,높임말했다 반말했다는 켄셉인지아닌지,,",1
진짜재밌어요!!♥이범수씨랑윤아씨연기짱짱^^월화는꼭이거보세요~~이거보다보면한시간이금방지나간답니다~*^^*,0
멋있어요!♥ 씨엔블루 짱!♥사랑해욤~♥,0
지금봐도 참충격적인 영화 이런영화를 80년대에 만들었다니 대단함!,0
짱짱이에요~  추천합니다!!꼭봐야할영화!!♥♥,0
"리바이벌로 알고 있는데, 정말 볼만한 영화입니다.",0
도대체 어디가 웃긴거야? 보는 도중에 점수 3점 주는 내인생 최초의 영화다.,1
시청률아 시청률아 올라라 올라라 와이키키!,0
감동도없고 재미는 더없고 시간도아까운 1점도아까운영화엿습니다. 역시평점은믿으면안되!! 내평정도믿지마,1
정말 특별한건없지만 기대이상으로재밌게봤어요! 배우들너무연기잘해서 몰입도도좋았어요,0
좋은 영화는 상업적이지 않지만 모두가 공감 할 수 있어야 하고 뻔하지 않지만 불편함도 있고 즐거움도 있는 영화 이어야 한다.,1
제~발 나나좀 하차시켜주세요.기식적인행동과말들이 언행불일치~진짜싫어~악~~~,1
빵이 없다,0
솔까 이거 재밌다고 하는 애들은 전부 빵셔틀 아님? 학창시절에 찌질이 빵셔틀로 살다가 이렇게 영화로나마 간접 일진 체험좀 해보니까 마냥 재밌고 빙의까지 된거 같은데. 평점준 꼬락서니가; 평점 8.56은 말도 안되는 영화,1
여자는 안벗고 남자만 주구장창 벗어재끼냐? 홍석천을 위한 영화인가 ....,1
좋아하는 일 속에서 고민하는 것.하지만 결국 하게 되는 것.쿠바샌드위치가 먹고싶어졌다.,0
씨엔블루흥해라 얍!!!,0
역시 나의 영화 굿입니다,0
근본없이 가지만 많은 나무처럼.,1
이색적인대회를자세히보여주는거같아좋아요그리고비록실력이좋은드림팀수준의구성은아니지만한국을알리기에는좋은거같네요전현무씨는브레인으로간거같고ㅎ차라리외국에살다온분들도있음방송이더부드러워질듯하네요,0
정선생 아저씨 때매 미치겠음 너무 웃겨요ㅋㅋ찜질방 더운씨 대박ㅋㅋ,0
중고등학교때 TV에서 방영한적이있는데.. 그때 이가흔에게 완전 뻑가서 유일하게 좋아하던 여배우였죠.. 20여년만에 다시봤는데 그때 생각도나고.. 볼만하네요 ^^,0
재미있게 잘 봤습니다.추천.,0
아 재밌게봤는데 오늘마지막회쓰레기네 ㅡㅡ 저걸 결말이라고쓴거냐 찝찝해죽겠네 기분나쁘다,1
"아담 샌들러 정말 좋아하는 팬인데,,, 이번영화 최악임,,",1
각본없는 리얼 다큐이기에 더더욱 감동이고 눈물이 흐르는 영화. 리처드 용재오닐의 연주가  음악 그 이상으로 슬픔과 아픔을 느끼게 하는지 그 이유를 알수 있었고 음악으로 이시대의 상처받은 영혼들이 치유되어지길 간절히 바라게 된다.,0
이시간에 왕가네식구들 다시보기 보는건 처음이다,1
하... 내용이 너무 비극적이라 안타까웠던 영화...ㅠ,0
"영화에 던져진 깨진 유리조각을 맞추는것처럼 흔적을 찾고, 또 맞추고 하는 재미가 있었네요. 자비에 돌란의 영화인 만큼 기대하고 봤는데 오프닝과 엔딩이 특히 인상깊었구요.  나오는 등장인물 하나하나를 파고드는 재미가 있습니다. ㅎㅎ 존잼임",0
오래된 영화인데도 정말  재밌게 봤습니다..,0
신비스러움을 가득 품은 명작,0
말이더 필요한가? 한마디로 핵 꿀 잼,0
넘 재미나게 본영화라 다시 한번 보고 싶네요,0
진짜 짜증스럽다 내용이 이게뭐냐???,1
"잊고지냇던 ,잊고지낼뻔한 명곡들을 다시 듣고 알게되어 정말 행복할 따름입니다",0
구십여년의 지난 세월이 무색할 정도로 흠잡을 때가 없는 명작.,0
감독이 만들다가 지가 뭘 만드는지도 모르고 그냥 끝낸 영화,1
보다가 후두부암 걸릴뻔했다사이다챙겨가서봐라꼭,1
이거 누가 보냐 ??? 극장가서 보냐?,1
시작 전 광고가 더 재미있음,1
좋은 음악...아름다운 영화다,0
서                    민                      수,0
"여주인공 입 열 때 마다 국어책이 수십권씩 튀어 나온다. 개봉작이라길래 멜로 사극인줄 알았다가 식겁했다. 명불허전 신개념 발연기, 3류에도 못미칠 쓰레기 에로물!! 말도 제대로 못하는 배우가 몸도 제대로 못쓰는 필름 낭비의 대표작!",1
재밌네요 좋아요 짱짱 맨이네요,0
초반 주인공아빠 어설프게 뒷목잡고 쓰러질떄 눈치챘는데..왜 끝까지 봤지;;,1
이거 보기전에 광고보면 안됌,1
애인과 함께 보면 좋을 영화,0
제가 처음엔 10점줫는데 스토리가 갈 수록 이상해지고.. 진경이랑 우창이.. 같은것끼리 어울리다니.. 순금이가 불쌍하고 아깝네요... 한진경 빨리 병으로 죽던지 빨랑 없앳으면 좋겟네요.. 이게 뭐야... 둘다 지몸관리 못해놓고 다른 사람들한테 피해주고,1
따뜻한 가족드라마라더니 결국에는 개막장.,1
좀비 하녀라는 이색적인 소재에 흑백으로 펼쳐지는 영상미가 인상적이였던 영화. 좀비분장 이색 이벤트도 함께해서 더욱 기억에 남는 영화입니다.,0
스릴러의 추락.,1
독창적인 내용이 전무한 그렇고 그런 영화.,1
이건 만화도 아니에요...그냥 유럽 각국을 소개하는 가이드북을 만화형식으로 만들어 놓은 것이랄까...이걸 자녀들과 가족들이 함께 보도록 극장에서 상영하고 돈 받는건 사기에 가깝네요..아이들 재미없어해 중간에 나왔습니다.,1
ㅋㅋㅋ별로야  재미없다고,1
뭔가 여운이 남고 사랑했던 여자친구가 생각나네요 여자주인공이 정말 이쁘시네요,0
한 마디로 .. '똥 싸고 자빠졌네 ',1
평점올리기~!!!ㄷㅂ,0
너무 이쁜영화. 두고두고 다시볼것같다,0
비주얼도 생각보다괜찮았고 진짜 부부를보는듯한 느낌이들어서 연기아닌줄! 제점수는요.,0
네이버 평점의 특징. 자기가 별로 재미없 게 봤음에도 영화가 좀 까인다 싶으면 10 점 주면 서 작품성 드립.,1
재밌겠다 내일 보러 갈께요!!,0
"전형적인 히치콕 영화를 완벽하게 탈피한 성과, 히치콕의 최고작",0
토리코 오늘 보러 갔음.,0
한국에로물도 이것보단 탄탄한 전개다,1
"원봉영의 주제가 선율과 유덕화의 턱시도에 흐르는 피, 오천련의 순백의 웨딩드레스, 오맹달의 신들린 연기. 눈물과 아쉬움과 청춘의 모든걸 담았던 영화. 주제가의 가사는 너무나 멋있게 영화를 관통함니다.  원봉영 의 천약유정.",0
진짜 지금까지 본 영화 중에 제일 쓰레기;;,1
친일파 새키들에게 권한다. 강츄,1
일은 꼭 주인공이 벌리고 죽는건 조연의 몫이다.,1
아 이건 진짜 아니였다 진짜 재미있었나?,1
감동 ~~감동받앗습니다~~,0
솔직히 요즘 작가님들 글쓰는거 보면 무슨생각을 하면서 쓰는지 모르겠네요;  연두가 오늘 연기하는거보고 깜짝놀랬습니다 강시도 아니고 이건뭐; 내용도 하나 제대로 된거 없는 막장스토리에 보면서 느는건 욕밖에 없네요 . 빨리종영됬으면 좋겠을 정도 입니다,1
개봉을하지마라~돈이남아도나보네...개봉할돈으로  그냥   영구와땡칠이찍어라,1
보는내내 무서웠음... 대작이다 대작,0
요즘 시대가 어느땐데....10년전에 나오면 성공했을 영화,1
가슴이 짠한 드라마...가슴을 먹먹하게 해주는 엔딩과 노래...,0
보고 싶은데에....,0
가족들이함께즐길수있는영화,0
최고임 ㅋㅋㅋ 완전 몰입해서 봤어요,0
다큐를 이리 못만드나?,1
너무 좋아요  명농이랑 설난이랑  사랑이 이루어지게 해주세요,0
임수정이 한번만이라도 벗었다면 내 평점은 올라갔을 것이다.,1
의리로도 용서 할수 없는 발연기 어쩔?,1
어린 시절 봤던 명작으로 기억되는 영화.,0
말이필요없다,0
영화자체가 재난이다.. 보는이의 기대를 무참히 파괴시키는 초특급재난영화.,1
문득 생각나서 마음이 아픈영화에요-,0
진짜 소름끼치네!!!,1
아무 생각 없이..아무 기대 없이 보는 영화인듯,1
너무 좋아요. 근데 시간대가 너무 늦는거 같습니다. 시간 좀 앞으로 당겨주세요,0
완전 귀여운 캐릭터! 보다보니 완전 잼나는 애니입니다! 강츄!,0
결말이 비참하네요,0
제 갠적으루 무지하게 잼나게 본영화인데 평점이 별루네요 최고의영화임다,0
긴장감 최고 ! 5명을 쏴 죽이고 유유히 빠져나가는 장면은 잊을 수가 없다.,0
도대체 무엇을 말하고 싶은것일까,1
박중훈의 눈빛이 최고!,0
밑에 왜 흐름을 깨냐??ㅡㅡ!!! 카스타드안에 크림없다,0
"영상미, 메릴스트립의 연기는 좋으나 사명감도 없고 대책없이 일저지르는 주인공. 전 기억전달자도 자신의 지위내에서 무고한 삭제같은건 막을 수 있었을텐데 손놓고 보는 답답함. 사춘기의 사랑때문에 전쟁,허기,살인,미움 등을 다 불러들이겠다는 답답한 판도라",1
"siwon <3최대 한글 140자까지 가능하며, 스포일러는 삭제될 수 있습니다.",0
내 인생 드라마.. 디비디는 못샀음 돈이 없어서,0
"""세상에 이런 영화도 있구나""하고 생각하게 해주는 영화 ㅋㅋㅋ",1
온갖 미사여구만 남발하는 막장드라마..,1
"임청하의 카리스마 ,매력의 절정.. 최고였지.",0
짖짜 웬만하면 영화 다 재밌게보는데 플랜맨도 빵빵 터지면서 봣는데이건 진짜 개노잼입니다...절대보지마세요,1
"내고향 순천, 가고싶다...",0
"독특한 소재에, 옥택연 연기가 의외로 좋앗음!! 앞으로 소이현 옥택연 팬임!! tvnm은 왠만한 공중파 드라마보다, 더 재미짐!!!!!!!!!!!!!!!",0
"스터리,개그가 빈약하다 그리고 기존에 있던 일부성우가 달라져서 재미가 없다 또,성우연기가 어색함",1
가렛 발연기땜에 몸이펴지지않음,1
베이브 루스의 야구에서의 활약보다는 그의 야구장 밖에서의 인생을 잘 조명한 영화,0
공포영화라기보단 학교폭력에 대한 경각심?을 일깨워주는 듯한 영화,1
전화박수 키스신 레전드,0
아나 남성부빨리만들어라. 조ㄴ나 징그럽다.,1
이 영화 역시 재미있죠.. 역시 브라이언 드팔마 감독은 대단!,0
돈주고 보면 아까운영화ㅡㅡ 보면서 같잖다는말밖에 안나옴,1
힘내세요 10점 주고갑니다 ㅋ 티켓이용 추억이 떠오르네요 ㅋ,0
영국식 유머는 전혀 맞지가 않네그랴..미국식 화장실 유머가 너무 익숙해졌나...,1
쵝오,0
아이들과 함께 본 만화영화 중 가장 재미있고 유쾌했던 영화~~~,0
"김명준 감독님의 최근 영화를 보게되어 좋습니다.김명준 감독님의 영화를보고 재일교포에 관심을갖게되었고,관심이라기보다 그들이 살고있는삶들이 영화를 통해서알수있고 역사에 대해서도 관심을 많이가질수있게 되었습니다. 김명준 감독님의 다음영화 기다려집니다!",0
아놔 평점왜케낮어 이렇게 감동적인 영화를 놓칠뻔했네 ㅜㅜ정말 재밌게 잘봤습니다~!!,0
절제된 메세지와 영상미 흑백으로 부각되는 것들!,0
인내심을 조롱하는 지루한  전개의 연속과  맥빠지는 갑작스런 결말...,1
ㅋㅋㅋㅋ 그냥웃는다  와 살다보니 이런영화도 보는구나ㅋㅋ  근데왜 청소년관람불가냐..? 뭣때문에?,1
기대하지 않고 봤는데 재밌네 ㅋㅋ,0
이거 좋아하시는 분들..여기서 기동대 탄압대상자로 나오는 마약쟁이들은 한국인을 모티브로 했다는거 아시나요들??...,1
"한심한 영화ㆍ,. . 가치없다",1
정말 너무나 지루하다.,1
괜찮은 액션영화,0
기괴함 속의 惡의 終末과 善의 希望. 기괴하게 갈구하는 삶의 모든 것...,0
1편과는 색다른 뭔가가 있는데.. 솔직히 7점 이상은 됌.,0
공포영화가 맞나.. 잠이 잘오는 영화임,1
귀여운 킹스턴루디스카,0
연기는 뭐 나쁘지 않아도 영화 자체는 ...,1
브로디 정말 귀엽고 매력적이져. 보고 있으면 눈이 즐거운 건 사실입니다. 그런데 지금 이게 가수오디션인지 미인대회인지 모르겠네요. 방송 장난으로 합니까? 떨어진 얘들중에 노래 잘하는 얘들이 얼마나 많은데 노래할 줄도 모르는 브로디를 살려줍니까.,1
시대를 감안 할 필요도 없는 명작,0
"거참...  재난영화인데 긴박감 없고,,, 연기는 왜 이런... CG도.. ㅜㅜ, 지진이 나면 주변은 안 흔들리고 사람만 비틀거리는...에혀... 별 0개가 없어 1개 해요..",1
내 기억이 잘못된것인가..어렸을때 이 영화를 보러갔을때 분명 간판엔 리빙데드라고 쓰여있었던거같던데..오늘까지도 그 제목으로 알고 있었는데..,0
한국영화 퐈이팅~~!!,1
"겨울바다 님아. 내용이고 자시고 저작권 허락도 안받고 영화제목, 캐릭터 생김새, 포스터까지 똑같이 표절한게 문제인거임. 이건 그냥 리얼 쓰레기영화",1
